player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Year,Category,smart_id,college_conference,college_name,draft_club,draftround,draft_number,rookie_year,season
antoine bethea,3152,FS,ARZ,15,7,0,72.7,0,1,1,0,0,87.6,86.4,30.7,76.5,80.6,86.6,1,1,0,5,54,5.1,3,2,2,84.5,16,1,0,131,8,503,741,18,0,0,18,0,544,723,8,230,40,15,49,0,22,3,1,244,102,15.3,2017,Defense,32004245-5407-4391-174d-0c21cb1efc83,Mid-Eastern Athletic Conference,Howard,IND,6,207,2006,12
tom johnson,3378,DI,MIN,18,7,0,NA,1,0,18,0,0,62.1,64.3,40.7,61.8,67.6,50.6,9,23,0,0,NA,10.8,4,0,5,0,0,2,0,4,0,2,786,781,72,686,0,23,0,5,542,242,0,25,26,3,0,34,0,0,0,NA,2017,Defense,32004a4f-4869-2182-1ea5-4141d2680ece,Conference USA,Southern Mississippi,NA,UDFA,NA,2006,12
tramon williams,3558,CB,ARZ,13,1,0,49.2,0,0,1,1,0,83.8,81.5,87.5,56.8,59.2,84.7,0,0,0,2,41,2.5,1,10,2,58.4,31,0,0,41,576,436,666,3,0,0,3,0,0,663,2,228,46,12,38,0,63,0,1,351,111,11.3,2017,Defense,32005749-4c54-5231-ee79-f2e61d2ba296,Western Athletic Conference,Louisiana Tech,NA,UDFA,NA,2006,12
brent grimes,3589,CB,TB,13,2,0,62.5,0,0,30,1,0,75.2,74.1,86.5,NA,61.1,58.2,0,0,0,3,38,10.5,6,8,0,73.8,45,0,0,72,742,521,844,0,0,0,0,0,1,844,0,323,29,14,49,3,72,0,1,559,171,12.4,2017,Defense,32004752-4967-4817-7a34-4b1ed913c685,Pennsylvania State Athletic Conference,Shippensburg,NA,UDFA,NA,2006,12
leon hall,3634,CB,SF,9,2,0,69.2,0,0,28,0,0,51.4,53.6,82.1,66.1,65,41.7,1,1,0,0,24,23.8,5,1,0,105.6,9,0,0,28,1,147,205,3,0,0,3,0,77,202,6,52,96,3,14,1,13,2,0,143,60,15.9,2017,Defense,32004841-4c43-2931-827d-a854493751c7,Big Ten Conference,Michigan,CIN,1,18,2007,11
reggie nelson,3637,S,OAK,16,18,1,55.2,1,2,23,0,0,52.9,63.8,90.2,55.8,81.9,74.6,0,2,0,1,34,9.8,9,3,2,80.8,16,0,0,412,19,583,1026,31,0,0,31,0,443,995,18,425,121,18,65,1,29,2,1,248,136,15.5,2017,Defense,32004e45-4c61-7002-eede-023b589dbb7d,Southeastern Conference,Florida,JAX,1,21,2007,11
eric weddle,3653,FS,BLT,16,9,0,70.8,0,1,3,1,0,76.1,73.3,90.6,68.9,60.8,48.1,1,7,1,6,57,14.3,10,2,0,70.5,17,1,0,290,14,638,1084,57,0,0,57,0,593,1027,32,414,130,13,51,3,24,9,1,202,119,11.9,2017,Defense,32005745-4429-0361-2ae4-59ca6faa52bc,Pacific Twelve Conference,Utah,SD,2,37,2007,11
brandon mebane,3701,NT,LAC,16,10,0,NA,0,0,27,0,0,56.5,49.8,76.4,47,54.4,43.9,2,4,0,0,NA,17.6,6,0,1,0,0,0,0,1,0,5,535,534,358,174,0,2,0,1,276,254,0,10,18,2,0,6,0,0,0,NA,2017,Defense,32004d45-4205-9326-dc2b-b710c1426761,Pacific Ten Conference,California,SEA,3,85,2007,11
brian robison,3718,ED,MIN,17,3,1,NA,0,0,18,0,0,73.5,62.9,78.3,59.3,60.3,73.1,4,30,0,0,NA,9.5,2,0,1,0,0,5,0,115,0,17,642,526,2,17,487,20,0,116,429,196,0,17,16,0,0,39,0,0,0,NA,2017,Defense,3200524f-4274-4810-4632-cb920f6358ed,Big Twelve Conference,Texas,MIN,4,102,2007,11
corey graham,3784,S,PHI,17,5,0,81.8,0,0,24,0,0,79.3,75.5,82.3,66.1,52.4,55.7,0,5,0,3,24,16,8,1,1,54.9,18,0,0,150,11,377,488,11,0,0,11,0,215,477,10,101,101,11,37,1,22,5,0,147,108,8.2,2017,Defense,32004752-4113-7223-7e3d-f85b9b90a77a,Colonial Athletic Association,New Hampshire,CHI,5,168,2007,11
