player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Year,Category,smart_id,college_conference,college_name,draft_club,draftround,draft_number,rookie_year,season
james bradberry,10696,CB,CAR,16,2,0,57.4,2,1,5,0,0,64.9,66.4,67.9,91.4,64.3,53.4,0,1,0,1,75,12,9,13,5,97.9,58,1,0,52,860,622,994,2,0,0,2,0,21,992,3,369,57,20,64,1,101,2,6,783,211,13.5,2018,Defense,32004252-4109-2789-d0bf-75f0393641e8,Southern Conference,Samford,CAR,2,62,2016,3
adam gotsis,10697,DI,DEN,16,7,5,NA,0,2,10,1,0,54.9,68.2,72.4,66.7,66.3,72.5,4,9,0,0,NA,2.6,1,0,1,0,0,3,0,1,0,1,513,511,12,311,55,133,0,2,281,231,0,25,31,3,0,16,0,0,0,NA,2018,Defense,3200474f-5442-8790-f92b-449fa59cd136,Atlantic Coast Conference,Georgia Tech,DEN,2,63,2016,3
kevin byard,10698,S,TEN,16,19,0,70,0,0,31,0,0,82.5,87.9,84.6,90.1,87.8,83,3,2,0,4,17,6.9,6,2,1,55.8,21,2,0,372,26,611,1042,25,0,0,25,0,470,1017,23,408,149,17,62,1,30,7,1,172,83,8.2,2018,Defense,32004259-4125-1361-f4be-db294c8d9a0f,Conference USA,Middle Tennessee,TEN,3,64,2016,3
carl nassib,10699,ED,TB,15,4,1,0,0,2,30,0,0,73.8,68.7,59,61.4,69.3,42.1,7,14,0,0,NA,21.9,7,1,3,39.6,0,6,0,16,0,13,598,582,0,11,534,37,0,16,346,239,0,22,21,8,1,27,0,0,0,NA,2018,Defense,32004e41-5372-7044-a589-a4ae370803e6,Big Ten Conference,Penn State,CLE,3,65,2016,3
maliek collins,10701,DI,DAL,15,4,0,NA,0,0,9,1,0,55.2,60.6,87.4,61.1,57.5,68.6,5,22,0,0,NA,7.7,2,0,0,0,0,4,0,0,0,1,608,608,25,435,3,145,0,0,393,214,0,17,20,3,0,31,0,0,0,NA,2018,Defense,3200434f-4c63-3184-3f7e-5796185e9486,Big Ten Conference,Nebraska,DAL,3,67,2016,3
will redmond,10702,S,GB,2,0,0,NA,0,0,12,0,0,60,66.3,69,66.6,60,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,2,0,1,5,1,0,0,1,0,0,4,3,1,1,0,0,0,0,0,0,0,0,NA,2018,Defense,32005245-4471-3301-df0f-6b89425dbb05,Southeastern Conference,Mississippi State,SF,3,68,2016,3
yannick ngakoue,10703,ED,JAX,16,5,1,100,1,0,15,0,0,59.2,72.7,58.5,76.8,59,29.9,24,30,0,0,7,26.9,7,0,4,95.8,1,10,0,18,1,13,766,747,0,0,745,2,0,19,497,256,0,21,14,3,1,64,0,7,7,7,2018,Defense,32004e47-4135-5963-d006-ceac3beca035,Big Ten Conference,Maryland,JAX,3,69,2016,3
bronson kaufusi,10704,ED,NYJ,3,0,1,NA,0,0,22,0,0,NA,44.1,77.7,50.7,45.6,NA,1,1,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,45,44,0,18,26,0,0,1,35,10,0,0,0,0,0,2,0,0,0,NA,2018,Defense,32004b41-5545-3616-2a4a-59b6a2da5135,Independent,Brigham Young,BAL,3,70,2016,3
darian thompson,10705,FS,DAL,1,0,0,NA,0,0,9,0,0,NA,60,62.9,NA,60,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,NA,2018,Defense,32005448-4f50-7692-d87a-6350d02b5af0,Mountain West Conference,Boise State,NYG,3,71,2016,3
jonathan bullard,10706,DI,CHI,17,4,2,NA,0,0,6,0,0,NA,60.6,62.4,57.6,63.4,29,0,12,0,0,NA,15,3,0,1,0,0,0,0,0,0,0,307,307,4,188,12,103,0,0,201,106,0,9,13,2,0,12,0,0,0,NA,2018,Defense,32004255-4c36-6378-5352-bcd27f50c265,Southeastern Conference,Florida,CHI,3,72,2016,3
keivarae russell,10708,CB,CIN,6,0,0,83.3,0,0,7,0,0,55.3,55.6,79.4,NA,55.7,52.5,0,0,0,0,47,14.3,2,0,0,126.9,15,0,0,19,101,84,137,1,0,0,1,0,0,136,0,53,16,1,12,0,18,0,1,180,67,12,2018,Defense,32005255-5358-5854-c0e7-ea512c954c1d,Independent,Notre Dame,KC,3,74,2016,3
shilique calhoun,10709,ED,OAK,7,4,0,NA,1,0,23,0,0,60.4,55,17.1,58.1,60.5,64.5,1,4,0,0,NA,8.3,1,0,2,0,0,0,0,1,0,3,138,137,0,2,128,7,0,1,68,67,0,5,7,2,0,5,0,0,0,NA,2018,Defense,32004341-4c42-2827-13a0-edfa592dfc47,Big Ten Conference,Michigan State,OAK,3,75,2016,3
daryl worley,10711,CB,OAK,10,3,0,59.1,0,0,23,0,0,51.1,55.6,85,NA,67.3,52.8,0,0,0,1,42,15,6,6,0,113.6,26,0,0,59,420,246,505,9,0,0,9,0,0,496,0,259,17,8,31,4,44,0,6,340,61,13.1,2018,Defense,3200574f-5261-6410-d895-940efbad622c,Big Twelve Conference,West Virginia,CAR,3,77,2016,3
adolphus washington,10714,DI,CIN,5,2,0,NA,0,0,7,0,0,NA,71.9,81.7,67.3,67.3,49.8,1,4,0,0,NA,22.2,2,0,0,0,0,1,0,0,0,0,134,134,13,106,1,14,0,0,71,63,0,5,5,0,0,6,0,0,0,NA,2018,Defense,32005741-5301-3310-25b4-0e6c9c214ab3,Big Ten Conference,Ohio State,BUF,3,80,2016,3
jordan jenkins,10717,ED,NYJ,16,8,0,81.8,0,1,22,2,0,43.8,52.4,44.9,60.6,53.8,53.6,8,20,0,0,50,9.1,3,0,4,141.7,9,7,0,4,0,56,660,652,0,4,641,7,0,8,328,276,4,19,22,2,11,35,1,118,91,13.1,2018,Defense,32004a45-4e29-5944-da05-a9f046abd0ea,Southeastern Conference,Georgia,NYJ,3,83,2016,3
kendall fuller,10718,SLOT,KC,17,10,0,69.1,2,1,16,0,0,70.8,72.4,87.5,50.4,74.7,60.2,0,1,0,2,42,13.8,16,8,6,90.5,76,0,0,109,241,777,1217,6,0,0,6,0,17,1211,19,421,844,30,90,3,110,1,2,854,372,11.2,2018,Defense,32004655-4c34-2614-e83f-6a7a6f7cab25,Atlantic Coast Conference,Virginia Tech,WAS,3,84,2016,3
nick vigil,10721,LB,CIN,11,9,0,83.1,1,0,7,1,0,59.1,60,83.7,47.1,63.9,54.1,1,6,0,0,44,11,10,3,1,103.7,49,0,0,496,14,374,672,70,0,0,70,0,7,602,53,245,85,35,72,5,59,7,0,524,373,10.7,2018,Defense,32005649-4724-7556-ed99-df36a6a1d2b2,Mountain West Conference,Utah State,CIN,3,87,2016,3
kyler fackrell,10722,ED,GB,16,9,1,44.4,0,0,12,0,0,72.7,69.5,75.6,69,58.5,44.5,2,10,0,0,13,17.5,7,0,1,51.6,4,11,0,18,1,128,626,594,0,6,584,4,0,32,243,255,10,27,24,2,9,23,0,26,21,6.5,2018,Defense,32004641-4335-5963-baa6-187c3472147d,Mountain West Conference,Utah State,GB,3,88,2016,3
javon hargrave,10723,NT,PIT,16,12,1,NA,0,0,25,0,0,81.2,80.6,39.2,71.5,78.5,75,1,13,0,0,NA,4.8,2,0,3,0,0,7,0,1,0,2,455,454,233,207,2,12,0,1,243,210,0,27,28,2,0,21,0,0,0,NA,2018,Defense,32004841-5214-3881-f71a-319de907d4f9,Mid-Eastern Athletic Conference,South Carolina State,PIT,3,89,2016,3
brandon williams,10726,CB,ARZ,3,0,0,57.1,0,0,1,0,0,55.7,49.3,82,NA,35.9,28.1,0,0,0,0,39,37.5,3,2,0,136.9,4,0,0,15,63,46,86,0,0,0,0,0,3,86,0,40,4,1,5,1,7,0,1,80,33,20,2018,Defense,32005749-4c00-0008-92f3-c750b3b2ae42,Southeastern Conference,Texas A&amp;M,ARI,3,92,2016,3
vincent valentine,10730,DI,ARZ,3,0,0,NA,0,0,1,0,0,NA,57.3,77.9,59.9,55.9,67.6,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,43,43,14,28,0,1,0,0,19,24,0,1,1,0,0,0,0,0,0,NA,2018,Defense,32005641-4c45-9261-1249-f09909997804,Big Ten Conference,Nebraska,NE,3,96,2016,3
justin simmons,10732,S,DEN,16,13,0,78.7,0,0,10,0,0,51.2,60.9,67.3,70.6,80.4,81.1,0,4,0,3,51,9.4,9,1,4,107,48,0,0,330,41,631,1078,13,0,0,13,0,417,1065,23,424,276,16,74,0,61,4,4,571,256,11.9,2018,Defense,32005349-4d24-8681-e7e9-18cf2a85b8b9,Atlantic Coast Conference,Boston College,DEN,3,98,2016,3
joe schobert,10733,LB,CLV,13,13,1,60.6,0,2,8,2,0,87.7,76.8,87.6,67,52.2,29.7,2,13,0,1,22,21.8,24,3,0,72.4,20,3,0,833,13,447,897,12,0,0,12,0,23,885,121,329,16,32,73,3,33,18,1,177,93,8.9,2018,Defense,32005343-4842-5646-1190-b0a27a5ab760,Big Ten Conference,Wisconsin,CLE,4,99,2016,3
sheldon day,10737,DI,SF,12,2,2,NA,0,0,28,0,0,63.5,59.1,84.4,67.6,45.5,56.6,1,15,0,0,NA,10,1,0,0,0,0,2,0,1,0,2,275,274,42,167,0,65,0,1,163,110,0,5,7,0,0,18,0,0,0,NA,2018,Defense,32004441-5939-2066-6870-59284ca7aa4a,Independent,Notre Dame,JAX,4,103,2016,3
tavon young,10738,SLOT,BLT,15,1,0,65.3,0,0,3,2,2,62.6,62.7,86.5,47.8,70.5,49.6,0,4,0,1,40,18.2,8,4,1,100.4,32,2,0,24,24,381,602,13,0,0,13,0,3,589,48,173,537,15,35,3,49,6,3,376,200,11.8,2018,Defense,3200544f-5529-7968-7f40-0f008a16f028,American Athletic Conference,Temple,BAL,4,104,2016,3
eric murray,10740,FS,KC,17,8,0,70,3,0,16,0,0,66.9,67.5,37.3,62.6,71.2,67.9,1,4,0,1,36,10.9,7,1,5,105.1,21,0,0,149,26,517,757,46,0,0,46,0,456,711,14,226,79,7,49,0,30,5,2,262,108,12.5,2018,Defense,32004d55-5261-5618-172a-cd1feb295e6e,Big Ten Conference,Minnesota,KC,4,106,2016,3
ryan smith,10742,CB,TB,12,5,0,63.2,1,1,30,1,0,61.8,63.8,85.9,NA,69,57.2,0,0,0,1,37,12.5,4,5,2,109.8,24,0,0,21,378,275,419,1,0,0,1,0,2,418,0,144,17,6,23,1,38,0,4,282,76,11.8,2018,Defense,3200534d-4969-7570-1b00-ffa65b496420,Mid-Eastern Athletic Conference,North Carolina Central,TB,4,108,2016,3
bj goodson,10743,LB,NYG,15,6,0,74.4,0,0,21,1,0,59.3,66.2,83.4,66.2,67.8,78,4,2,0,2,28,7.8,5,2,0,69.9,29,0,0,469,2,219,513,23,0,0,23,0,0,490,37,257,19,23,53,4,39,6,0,255,162,8.8,2018,Defense,3200474f-4f56-8123-e385-55ab4e82d3d4,Atlantic Coast Conference,Clemson,NYG,4,109,2016,3
miles killebrew,10745,S,DET,1,0,0,NA,0,0,11,0,0,NA,60,60,NA,60,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,2018,Defense,32004b49-4c28-3492-57d3-042b96cef5b8,Big Sky Conference,Southern Utah,DET,4,111,2016,3
nick kwiatkoski,10747,LB,CHI,11,2,0,88.9,0,0,6,0,0,46.7,56.1,75.9,64.5,71.5,83.1,1,0,0,0,15,0,0,0,0,139.4,8,0,0,94,0,70,112,0,0,0,0,0,0,112,10,32,17,3,8,0,9,1,1,77,39,9.6,2018,Defense,32004b57-4905-9326-3c1f-c16165bd8c39,Big Twelve Conference,West Virginia,CHI,4,113,2016,3
devondre campbell,10749,LB,ATL,16,20,0,78.3,0,0,2,0,0,50.6,56.7,69.9,58.1,65.3,89.2,1,6,0,0,34,3.4,3,0,1,117.6,47,2,0,588,17,473,902,192,0,0,192,0,12,710,105,324,92,29,66,2,60,9,3,494,286,10.5,2018,Defense,32004341-4d22-7922-fbee-a8af685282e3,Big Ten Conference,Minnesota,ATL,4,115,2016,3
hassan ridgeway,10750,DI,IND,7,1,0,NA,0,0,14,0,0,69.2,73.9,81.1,60.4,72.5,31.8,1,2,0,0,NA,14.3,1,0,0,0,0,1,0,0,0,0,103,103,23,63,0,17,0,0,65,38,0,5,5,1,0,4,0,0,0,NA,2018,Defense,32005249-4429-9361-91c7-7d7e2cc3477b,Big Twelve Conference,Texas,IND,4,116,2016,3
juston burris,10752,CB,CLV,1,0,0,NA,0,0,8,0,0,NA,60,60,NA,60,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,2018,Defense,32004255-5260-8462-2be5-1dae38940357,Atlantic Coast Conference,North Carolina State,NYJ,4,118,2016,3
david onyemata,10754,DI,NO,18,7,0,NA,0,1,20,0,0,60.2,79.7,67.9,75.8,73.9,59.8,1,31,0,0,NA,15,6,0,2,0,0,5,0,0,0,12,706,703,37,553,1,112,0,3,475,219,0,27,27,2,0,37,0,0,0,NA,2018,Defense,32004f4e-5916-4481-9c60-dd4f4e644838,Canada West Universities Athletic Association,"Manitoba, Can.",NO,4,120,2016,3
andrew billings,10756,NT,CIN,16,4,0,NA,0,0,7,0,0,60,71.1,81.6,64.5,68.8,54,4,17,0,0,NA,11.4,4,0,1,0,0,3,0,0,0,0,632,632,347,282,0,3,0,0,291,341,0,25,27,6,0,24,0,0,0,NA,2018,Defense,32004249-4c46-2662-d818-0e385b7aa3bd,Big Twelve Conference,Baylor,CIN,4,122,2016,3
deon bush,10758,FS,CHI,11,1,0,44.4,0,1,6,0,0,75.4,75.8,9.2,72.9,62.5,63.7,0,0,0,0,18,16.7,2,0,1,57.6,4,1,0,24,0,154,219,3,0,0,3,0,171,216,1,64,21,4,9,0,9,1,0,40,15,10,2018,Defense,32004255-5321-6856-7188-bf3ce3fe93af,Atlantic Coast Conference,Miami,CHI,4,124,2016,3
antonio morrison,10759,LB,GB,16,12,0,100,0,0,12,0,0,47.7,55.8,79.6,65.6,61.3,33,1,2,0,0,24,17.4,8,0,0,112,9,1,0,271,2,108,302,11,0,0,11,0,0,291,21,173,15,16,26,4,9,4,0,98,75,10.9,2018,Defense,32004d4f-5256-4646-be3d-82ef348fa3d1,Southeastern Conference,Florida,IND,4,125,2016,3
deiondre hall,10761,FS,PHI,4,0,0,100,0,0,24,0,0,63.6,64.8,72.3,NA,NA,73.3,0,0,0,0,5,0,0,0,0,87.5,1,0,0,1,1,7,7,0,0,0,0,0,4,7,0,0,0,0,1,0,1,0,0,5,10,5,2018,Defense,32004841-4c27-0555-d94b-8d6534cfaffd,Missouri Valley Football Conference,Northern Iowa,CHI,4,127,2016,3
derrick kindred,10763,S,CLV,16,4,0,79.2,0,1,8,0,0,52.6,46.9,61.1,54.3,42.8,32.6,0,5,0,1,45,20.8,10,0,1,123.3,19,0,0,98,27,246,498,140,0,0,140,0,168,358,31,221,64,9,34,0,24,5,2,266,92,14,2018,Defense,32004b49-4e19-2537-a82c-dc2f34fad8fc,Big Twelve Conference,Texas Christian,CLE,4,129,2016,3
blake martinez,10765,LB,GB,16,37,0,81.5,0,0,12,0,0,83.1,73.9,67.8,63.1,58.5,73,0,15,0,0,26,10.1,15,2,1,123.5,44,4,0,987,2,544,1050,29,0,0,29,0,3,1021,84,422,28,47,96,5,54,19,4,417,273,9.5,2018,Defense,32004d41-5277-6230-c3a3-0290a0ccc6d0,Pacific Twelve Conference,Stanford,GB,4,131,2016,3
willie henry,10766,DI,BLT,3,1,0,NA,0,0,3,0,0,59.7,65.7,79.6,59.4,68.2,69.4,0,2,0,0,NA,0,0,0,0,0,0,1,0,0,0,4,82,82,12,52,0,18,0,0,56,22,0,2,1,0,0,3,0,0,0,NA,2018,Defense,32004845-4e71-3344-febf-15d76f5eb46d,Big Ten Conference,Michigan,BAL,4,132,2016,3
rashard robinson,10767,CB,NYJ,4,1,0,100,0,0,22,0,0,33.3,38.3,78.8,54.7,67.7,41.2,0,0,0,0,38,11.1,1,0,0,155.8,9,0,0,6,62,47,83,2,0,0,2,0,0,81,3,33,13,0,7,0,9,0,1,126,37,14,2018,Defense,3200524f-4268-0485-1745-27d392dfc64a,Southeastern Conference,Louisiana State,SF,4,133,2016,3
dean lowry,10771,DI,GB,16,8,3,NA,0,0,12,1,0,61.9,72.6,46.2,60.8,78.4,44.8,3,22,0,0,NA,14.6,7,0,4,0,0,4,0,2,0,1,698,695,6,428,73,188,0,3,372,325,0,26,33,2,0,29,0,0,0,NA,2018,Defense,32004c4f-5761-7631-a34e-c6965ab51a7c,Big Ten Conference,Northwestern,GB,4,137,2016,3
ronald blair,10776,ED,SF,16,4,0,NA,0,0,28,0,0,67.3,61.2,67.4,54.7,64.7,70,8,15,0,0,NA,3.8,1,0,2,0,0,8,0,0,0,16,534,533,2,11,487,33,0,1,338,180,1,20,21,5,0,31,0,0,0,NA,2018,Defense,3200424c-4154-7928-8324-14db6cd38d97,Sun Belt Conference,Appalachian State,SF,5,142,2016,3
matthew judon,10780,ED,BLT,17,8,4,76.9,0,1,3,0,0,55.6,66.9,17.2,71.3,71.3,61.7,18,21,0,0,26,10.9,5,0,7,90.9,10,8,0,20,3,128,728,678,0,0,675,3,0,50,366,234,25,29,33,8,13,47,0,77,71,7.7,2018,Defense,32004a55-4444-2977-278b-6fd440b8c2e8,Great Lakes Intercollegiate Athletic Conference,Grand Valley State,BAL,5,146,2016,3
quinton jefferson,10781,DI,SEA,17,4,2,NA,0,0,29,1,0,64.7,60.3,20.6,57.3,69.9,55.1,11,17,0,0,NA,16,4,0,6,0,0,4,0,3,0,0,604,601,4,146,169,282,0,3,393,211,0,16,17,2,0,32,0,0,0,NA,2018,Defense,32004a45-4635-0399-dbfb-3775a6ac795c,Big Ten Conference,Maryland,SEA,5,147,2016,3
matt ioannidis,10786,DI,WAS,14,2,0,NA,0,1,32,1,0,60.7,68.7,70.7,70.6,59.2,77.8,3,25,0,0,NA,9.1,2,0,1,0,0,8,0,0,0,1,439,439,19,179,24,217,0,0,275,163,0,18,18,0,0,36,0,0,0,NA,2018,Defense,3200494f-4145-8455-17d8-f458d41d165e,American Athletic Conference,Temple,WAS,5,152,2016,3
leshaun sims,10791,SLOT,TEN,13,3,0,72.2,0,0,31,0,0,56.8,58.1,82.2,73,54.5,46.2,1,1,0,0,43,19,4,0,1,136.1,13,0,0,11,87,128,215,4,0,0,4,0,0,211,8,79,111,5,14,1,18,2,2,159,90,12.2,2018,Defense,32005349-4d76-7909-9084-6fd680c177bd,Big Sky Conference,Southern Utah,TEN,5,157,2016,3
kentrell brothers,10794,LB,MIN,3,0,0,0,0,0,18,0,0,63,65.2,68.2,60.9,60,77.1,0,0,0,0,NA,0,0,0,0,39.6,0,1,0,3,0,4,6,0,0,0,0,0,2,6,1,1,0,2,1,0,1,1,0,0,0,NA,2018,Defense,32004252-4f20-4395-67c1-abe97c149b30,Southeastern Conference,Missouri,MIN,5,160,2016,3
dj reader,10800,DI,HST,17,9,0,NA,0,0,13,0,0,68.1,76.1,77.9,62,77.1,77.6,2,20,0,0,NA,2.8,1,0,1,0,0,2,0,0,0,12,681,681,199,394,4,84,0,0,357,312,0,22,26,1,0,24,0,0,0,NA,2018,Defense,32005245-4114-8116-e0aa-521c3fdaafdb,Atlantic Coast Conference,Clemson,HOU,5,166,2016,3
marqui christian,10801,S,LA,18,4,0,67.6,0,0,26,0,0,58.8,55.8,1.7,50.1,59.2,63.6,1,0,0,0,37,13.2,5,1,2,94.2,25,0,0,164,16,277,352,11,0,0,11,0,33,341,18,57,127,10,29,0,37,1,0,318,134,12.7,2018,Defense,32004348-5236-0796-81d6-36dafb0c0cc7,Lone Star Conference,Midwestern State,ARI,5,167,2016,3
jatavis brown,10809,LB,LAC,15,19,1,84.5,0,1,27,0,0,56.8,53.4,55.1,61.1,49.1,65.7,0,1,0,0,23,9.7,10,3,2,103.9,60,1,0,541,4,399,637,9,0,0,9,0,13,628,25,213,70,29,74,2,71,2,1,555,331,9.3,2018,Defense,32004252-4f48-6483-29f4-b1c88b7c58a4,Mid-American Conference,Akron,SD,5,175,2016,3
devante bond,10817,LB,TB,10,3,0,81.8,0,0,30,0,0,40,47.1,37.5,54.7,57.1,68,1,1,0,0,54,9.5,2,0,1,118.8,9,0,0,134,1,67,248,78,0,0,78,0,0,170,21,160,35,8,16,0,11,2,0,147,87,16.3,2018,Defense,3200424f-4e13-6909-a42f-c215a8bb16ac,Big Twelve Conference,Oklahoma,TB,6,183,2016,3
deandre houston-carson,10819,S,CHI,9,0,0,100,0,0,6,0,0,62.2,59.8,75.4,54.4,52.4,59.6,1,0,0,0,9,20,1,0,0,104.2,3,0,0,9,3,37,48,0,0,0,0,0,17,48,2,9,18,1,4,0,3,1,0,27,7,9,2018,Defense,3200484f-5578-1909-bcd4-71903295ddc9,Colonial Athletic Association,William &amp; Mary,CHI,6,185,2016,3
anthony brown,10823,SLOT,DAL,17,5,0,66.1,0,1,9,0,0,65.7,65.8,86.9,59.3,60.7,59.2,1,3,0,1,49,15.4,8,5,2,97.9,41,2,0,26,164,496,798,10,0,0,10,0,4,788,26,276,594,16,39,1,62,6,3,466,231,11.4,2018,Defense,32004252-4f26-6417-50b1-3b13a5b426b0,Big Ten Conference,Purdue,DAL,6,189,2016,3
blake countess,10830,FS,LA,8,0,0,66.7,0,0,26,0,0,69.7,66.5,81.6,58.3,49.3,28.2,0,0,0,1,15,50,2,1,0,55.6,2,0,0,14,0,44,66,0,0,0,0,0,51,66,1,21,0,1,2,0,3,0,0,27,15,13.5,2018,Defense,3200434f-5519-3020-c3f7-f34dc5a691e1,Southeastern Conference,Auburn,PHI,6,196,2016,3
anthony zettel,10836,ED,CLV,15,3,0,NA,0,0,8,0,0,65.1,52.4,84.4,49.5,54.1,52.6,0,2,0,0,NA,14.3,2,0,0,0,0,0,0,0,0,3,158,158,0,22,116,20,0,0,97,58,0,6,9,3,0,2,0,0,0,NA,2018,Defense,32005a45-5462-9687-f6eb-ae2eb007a4d1,Big Ten Conference,Penn State,DET,6,202,2016,3
jordan lucas,10838,FS,KC,9,11,0,53.8,0,0,16,0,0,61.7,57.8,82.1,66.8,43.7,50.8,1,0,0,1,42,18.2,6,2,1,90.1,7,1,0,79,18,228,343,18,0,0,18,0,186,325,7,108,42,2,16,0,13,2,2,111,65,15.9,2018,Defense,32004c55-4306-8819-71f2-b176439198a6,Big Ten Conference,Penn State,MIA,6,204,2016,3
kamu grugier-hill,10842,LB,PHI,18,8,0,75,0,0,24,0,0,60.3,63.6,81.5,61.6,64.2,76.1,0,0,0,1,22,7.7,3,1,0,68.3,15,1,0,296,0,168,351,32,0,0,32,0,3,319,12,171,18,15,28,5,20,1,0,118,71,7.9,2018,Defense,32004752-5551-6162-3876-4426f79b63c8,Ohio Valley Conference,Eastern Illinois,NE,6,208,2016,3
maurice canady,10843,CB,BLT,2,0,0,100,0,0,3,0,0,54.7,55.7,97.2,NA,60,75.1,0,0,0,0,14,0,0,0,0,116.7,2,0,0,0,10,7,12,0,0,0,0,0,0,12,0,5,0,0,2,0,2,0,0,24,0,12,2018,Defense,32004341-4e14-9679-82f3-30242a8781d3,Atlantic Coast Conference,Virginia,BAL,6,209,2016,3
kavon frazier,10846,S,DAL,12,1,0,84.6,0,0,9,0,0,44.7,52.2,82.3,66.3,70.6,36.1,0,0,0,0,52,25,5,2,0,149.5,11,1,0,55,1,108,191,21,0,0,21,0,74,170,3,80,39,6,14,1,13,1,2,135,90,12.3,2018,Defense,32004652-4177-7401-a536-f58bb866bebd,Mid-American Conference,Central Michigan,DAL,6,212,2016,3
elandon roberts,10848,LB,NE,19,13,1,78.1,0,0,19,0,0,56.5,69.9,83.4,68.4,76.3,71.7,1,4,0,0,25,7.7,5,3,0,98.7,25,1,0,447,1,220,470,10,0,0,10,0,0,460,33,217,12,33,47,7,32,6,0,246,147,9.8,2018,Defense,3200524f-4213-4404-f22b-526f175c5480,American Athletic Conference,Houston,NE,6,214,2016,3
will parks,10853,S,DEN,16,4,0,61.5,1,1,10,0,0,75.7,74,85.9,53.7,65.2,52.8,2,2,0,1,31,15.8,6,2,1,66.7,16,0,0,224,20,334,572,42,0,0,42,0,198,530,37,201,88,10,28,0,26,4,0,183,81,11.4,2018,Defense,32005041-5256-7787-28bf-b8cbc7190eae,Pacific Twelve Conference,Arizona,DEN,6,219,2016,3
aaron wallace,10856,ED,DEN,1,1,0,NA,0,0,10,0,0,50.5,45,72.9,57.9,66.8,25.3,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,8,6,0,0,6,0,0,2,2,5,1,0,0,0,0,0,0,0,0,NA,2018,Defense,32005741-4c40-0144-c0ff-bfd50d469931,Pacific Twelve Conference,UCLA,TEN,7,222,2016,3
jonathan woodard,10860,ED,MIA,6,1,0,NA,0,0,17,0,0,61.2,61.3,84.3,58.1,59.8,51.6,1,3,0,0,NA,10,1,0,0,0,0,1,0,0,0,1,128,128,0,5,117,6,0,0,57,70,0,6,8,2,0,5,0,0,0,NA,2018,Defense,3200574f-4f20-2981-9e76-6db15a814a74,Southland Conference,Central Arkansas,JAX,7,226,2016,3
stephen weatherly,10861,ED,MIN,16,2,0,50,0,1,18,0,0,66.6,66.9,54.7,58.1,70.1,49.3,6,18,0,0,19,16.7,6,0,3,83.3,1,3,0,6,0,13,524,517,0,1,488,28,0,7,307,204,0,23,28,5,2,27,0,19,21,19,2018,Defense,32005745-4120-6755-ead0-47bd42e79015,Southeastern Conference,Vanderbilt,MIN,7,227,2016,3
jalen mills,10867,CB,PHI,8,3,0,65.3,1,0,24,0,0,55.8,57.2,84.1,58.3,63.1,41.2,0,0,0,0,68,17,8,9,4,107.2,32,0,0,38,413,327,457,0,0,0,0,0,1,457,1,129,5,9,36,1,49,0,1,516,155,16.1,2018,Defense,32004d49-4c68-8675-144f-40ee3d9b3d2b,Southeastern Conference,Louisiana State,PHI,7,233,2016,3
trevor bates,10873,LB,DET,1,0,0,NA,0,0,11,0,0,NA,66.3,99.9,NA,61,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,NA,2018,Defense,32004241-5417-8233-3fbc-1269cc2ee8b1,Colonial Athletic Association,Maine,IND,7,239,2016,3
jayron kearse,10878,SLOT,MIN,15,2,0,81.3,1,0,18,0,0,62.1,67.9,80.2,65.2,76.3,87,0,1,0,0,17,0,0,1,2,89.8,13,1,0,45,10,124,203,13,0,0,13,0,2,190,5,74,132,11,16,1,16,2,0,89,57,6.8,2018,Defense,32004b45-4150-8861-f410-98e938396142,Atlantic Coast Conference,Clemson,MIN,7,244,2016,3
